Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Mean Accuracy,CV Std
XGBoost,0.7234107735511871,0.7282495305654079,0.7128561217195957,0.7204706125187058,0.8046029683317215,0.7188792443196323,0.0011435785756663288
Random Forest,0.7213683941792188,0.7414791713076408,0.679771265189421,0.7092856001278568,0.7961401814120931,0.7104033699259638,0.0032827317462261352
Logistic Regression,0.6773040592290018,0.64742338059258,0.7787194935157766,0.7070276284071945,0.7346591759470049,0.6759254531529232,0.0024737516562179725
