Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6363032933367373,0.6263008514664143,0.6759930562646789,0.6501988901438884,0.6809124687818897
Random Forest,0.720194026040337,0.7403856872143574,0.6782395588685796,0.7079513962907695,0.7964005913003753
XGBoost,0.7207556803676283,0.7239022369511184,0.7137751455121005,0.718803023291686,0.8022143438623961
